"direction","d.mean","breaks","obs","p.val","size"
"0",212.63,320,0.5164,1e-04,8207
"0",497.308,640,0.7519,2e-04,24202
"0",809.392,960,0.7699,3e-04,38086
"0",1125.862,1280,0.8009,4e-04,51536
"0",1444.349,1600,0.7819,5e-04,63449
"0",1763.194,1920,0.7871,6e-04,73462
"0",2081.035,2240,0.7679,7e-04,81710
"0",2402.22,2560,0.7734,8e-04,89268
"0",2720.212,2880,0.7635,9e-04,94291
"0",3039.715,3200,0.7492,0.001,100190
"0",3361.01,3520,0.7541,0.0011,103539
"0",3679.806,3840,0.776,0.0012,105813
"0",3999.505,4160,0.803,0.0013,108484
"0",4319.873,4480,0.8404,0.0014,108760
"0",4638.929,4800,0.8447,0.0015,107036
"0",4959.061,5120,0.8517,0.0016,107453
"0",5280.001,5440,0.8556,0.0017,105456
"0",5598.982,5760,0.8867,0.0018,102261
"0",5917.968,6080,0.9175,0.0019,99591
"0",6238.874,6400,0.9622,0.0265,95805
"0",6557.954,6720,0.9638,0.053,90831
"0",6877.384,7040,1.0433,0.0916,86003
"45",212.63,320,0.5688,1e-04,8207
"45",497.308,640,0.7898,2e-04,24202
"45",809.392,960,0.8374,3e-04,38086
"45",1125.862,1280,0.8367,4e-04,51536
"45",1444.349,1600,0.8165,5e-04,63449
"45",1763.194,1920,0.8087,6e-04,73462
"45",2081.035,2240,0.7765,7e-04,81710
"45",2402.22,2560,0.7941,8e-04,89268
"45",2720.212,2880,0.8067,9e-04,94291
"45",3039.715,3200,0.8101,0.001,100190
"45",3361.01,3520,0.8257,0.0011,103539
"45",3679.806,3840,0.8634,0.0012,105813
"45",3999.505,4160,0.9048,0.0013,108484
"45",4319.873,4480,0.9767,0.10419,108760
"45",4638.929,4800,0.9884,0.25957,107036
"45",4959.061,5120,1.0085,0.51914,107453
"45",5280.001,5440,1.0409,0.0844,105456
"45",5598.982,5760,1.1118,0.0018,102261
"45",5917.968,6080,1.1648,0.0019,99591
"45",6238.874,6400,1.2432,0.002,95805
"45",6557.954,6720,1.2934,0.0021,90831
"45",6877.384,7040,1.4112,0.0022,86003
"90",212.63,320,0.5478,1e-04,8207
"90",497.308,640,0.7679,2e-04,24202
"90",809.392,960,0.8424,3e-04,38086
"90",1125.862,1280,0.8392,4e-04,51536
"90",1444.349,1600,0.8077,5e-04,63449
"90",1763.194,1920,0.7698,6e-04,73462
"90",2081.035,2240,0.7501,7e-04,81710
"90",2402.22,2560,0.7649,8e-04,89268
"90",2720.212,2880,0.7993,9e-04,94291
"90",3039.715,3200,0.8099,0.001,100190
"90",3361.01,3520,0.8132,0.0011,103539
"90",3679.806,3840,0.8449,0.0012,105813
"90",3999.505,4160,0.8629,0.0013,108484
"90",4319.873,4480,0.9235,0.0014,108760
"90",4638.929,4800,0.932,0.0015,107036
"90",4959.061,5120,0.9647,0.0084,107453
"90",5280.001,5440,1.0061,0.34177,105456
"90",5598.982,5760,1.0699,0.0018,102261
"90",5917.968,6080,1.1139,0.0019,99591
"90",6238.874,6400,1.182,0.002,95805
"90",6557.954,6720,1.2397,0.0021,90831
"90",6877.384,7040,1.3193,0.0022,86003
"135",212.63,320,0.4939,1e-04,8207
"135",497.308,640,0.7306,2e-04,24202
"135",809.392,960,0.7753,3e-04,38086
"135",1125.862,1280,0.8037,4e-04,51536
"135",1444.349,1600,0.7734,5e-04,63449
"135",1763.194,1920,0.749,6e-04,73462
"135",2081.035,2240,0.7422,7e-04,81710
"135",2402.22,2560,0.7457,8e-04,89268
"135",2720.212,2880,0.7574,9e-04,94291
"135",3039.715,3200,0.7514,0.001,100190
"135",3361.01,3520,0.7453,0.0011,103539
"135",3679.806,3840,0.7624,0.0012,105813
"135",3999.505,4160,0.7686,0.0013,108484
"135",4319.873,4480,0.799,0.0014,108760
"135",4638.929,4800,0.8022,0.0015,107036
"135",4959.061,5120,0.8227,0.0016,107453
"135",5280.001,5440,0.8378,0.0017,105456
"135",5598.982,5760,0.8693,0.0018,102261
"135",5917.968,6080,0.896,0.0019,99591
"135",6238.874,6400,0.9381,0.002,95805
"135",6557.954,6720,0.9555,0.0121,90831
"135",6877.384,7040,1.0114,0.26427,86003
"omnidir",212.63,320,0.5323,1e-04,8207
"omnidir",497.308,640,0.7599,2e-04,24202
"omnidir",809.392,960,0.8061,3e-04,38086
"omnidir",1125.862,1280,0.82,4e-04,51536
"omnidir",1444.349,1600,0.7948,5e-04,63449
"omnidir",1763.194,1920,0.7784,6e-04,73462
"omnidir",2081.035,2240,0.759,7e-04,81710
"omnidir",2402.22,2560,0.7692,8e-04,89268
"omnidir",2720.212,2880,0.7813,9e-04,94291
"omnidir",3039.715,3200,0.7797,0.001,100190
"omnidir",3361.01,3520,0.7839,0.0011,103539
"omnidir",3679.806,3840,0.8105,0.0012,105813
"omnidir",3999.505,4160,0.8332,0.0013,108484
"omnidir",4319.873,4480,0.8821,0.0014,108760
"omnidir",4638.929,4800,0.8885,0.0015,107036
"omnidir",4959.061,5120,0.9078,0.0016,107453
"omnidir",5280.001,5440,0.93,0.0017,105456
"omnidir",5598.982,5760,0.9769,0.0115,102261
"omnidir",5917.968,6080,1.0134,0.10659,99591
"omnidir",6238.874,6400,1.0693,0.002,95805
"omnidir",6557.954,6720,1.098,0.0021,90831
"omnidir",6877.384,7040,1.1772,0.0022,86003
