"direction","d.mean","breaks","obs","p.val","size"
"0",212.63,320,0.4731,1e-04,8207
"0",497.308,640,0.1951,2e-04,24202
"0",809.392,960,0.1385,3e-04,38086
"0",1125.862,1280,0.1028,4e-04,51536
"0",1444.349,1600,0.0742,5e-04,63449
"0",1763.194,1920,0.0644,6e-04,73462
"0",2081.035,2240,0.0612,7e-04,81710
"0",2402.22,2560,0.0526,8e-04,89268
"0",2720.212,2880,0.0573,9e-04,94291
"0",3039.715,3200,0.0571,0.001,100190
"0",3361.01,3520,0.0517,0.0011,103539
"0",3679.806,3840,0.0402,0.0012,105813
"0",3999.505,4160,0.0252,0.0013,108484
"0",4319.873,4480,0.0164,0.0014,108760
"0",4638.929,4800,0.0183,0.0015,107036
"0",4959.061,5120,0.0137,0.003,107453
"0",5280.001,5440,0.0228,0.0017,105456
"0",5598.982,5760,0.0208,0.0018,102261
"0",5917.968,6080,0.0166,0.0019,99591
"0",6238.874,6400,0.007,0.0258,95805
"0",6557.954,6720,0.0267,0.0021,90831
"0",6877.384,7040,0.0059,0.05759,86003
"45",212.63,320,0.4128,1e-04,8207
"45",497.308,640,0.1362,2e-04,24202
"45",809.392,960,0.0558,3e-04,38086
"45",1125.862,1280,0.0355,4e-04,51536
"45",1444.349,1600,0.0228,5e-04,63449
"45",1763.194,1920,0.0345,6e-04,73462
"45",2081.035,2240,0.0432,7e-04,81710
"45",2402.22,2560,0.035,8e-04,89268
"45",2720.212,2880,0.0248,9e-04,94291
"45",3039.715,3200,0.0153,0.0018,100190
"45",3361.01,3520,0.012,0.0036,103539
"45",3679.806,3840,0,0.45535,105813
"45",3999.505,4160,-0.0111,0.009,108484
"45",4319.873,4480,-0.0175,0.0014,108760
"45",4638.929,4800,-0.0223,0.0015,107036
"45",4959.061,5120,-0.0277,0.0016,107453
"45",5280.001,5440,-0.0204,0.0017,105456
"45",5598.982,5760,-0.0256,0.0018,102261
"45",5917.968,6080,-0.0163,0.0051,99591
"45",6238.874,6400,-0.0217,0.002,95805
"45",6557.954,6720,-0.0175,0.0021,90831
"45",6877.384,7040,-0.0558,0.0022,86003
"90",212.63,320,0.4374,1e-04,8207
"90",497.308,640,0.1534,2e-04,24202
"90",809.392,960,0.0522,3e-04,38086
"90",1125.862,1280,0.0204,6e-04,51536
"90",1444.349,1600,0.0164,0.001,63449
"90",1763.194,1920,0.0237,6e-04,73462
"90",2081.035,2240,0.0323,7e-04,81710
"90",2402.22,2560,0.0288,8e-04,89268
"90",2720.212,2880,-0.0015,0.39666,94291
"90",3039.715,3200,-0.0064,0.10638,100190
"90",3361.01,3520,-0.0015,0.76932,103539
"90",3679.806,3840,-0.0173,0.0012,105813
"90",3999.505,4160,-0.0113,0.012,108484
"90",4319.873,4480,-0.0166,0.0014,108760
"90",4638.929,4800,-0.0293,0.0015,107036
"90",4959.061,5120,-0.0411,0.0016,107453
"90",5280.001,5440,-0.0446,0.0017,105456
"90",5598.982,5760,-0.0513,0.0018,102261
"90",5917.968,6080,-0.0463,0.0019,99591
"90",6238.874,6400,-0.0566,0.002,95805
"90",6557.954,6720,-0.0653,0.0021,90831
"90",6877.384,7040,-0.0835,0.0022,86003
"135",212.63,320,0.4994,1e-04,8207
"135",497.308,640,0.2117,2e-04,24202
"135",809.392,960,0.1345,3e-04,38086
"135",1125.862,1280,0.0872,4e-04,51536
"135",1444.349,1600,0.0675,5e-04,63449
"135",1763.194,1920,0.0533,6e-04,73462
"135",2081.035,2240,0.0502,7e-04,81710
"135",2402.22,2560,0.0461,8e-04,89268
"135",2720.212,2880,0.0309,9e-04,94291
"135",3039.715,3200,0.0344,0.001,100190
"135",3361.01,3520,0.0367,0.0011,103539
"135",3679.806,3840,0.0217,0.0012,105813
"135",3999.505,4160,0.023,0.0013,108484
"135",4319.873,4480,0.015,0.0014,108760
"135",4638.929,4800,0.0089,0.0064,107036
"135",4959.061,5120,-0.0016,0.37736,107453
"135",5280.001,5440,-0.0023,0.59734,105456
"135",5598.982,5760,-0.006,0.17397,102261
"135",5917.968,6080,-0.0124,0.0099,99591
"135",6238.874,6400,-0.0257,0.002,95805
"135",6557.954,6720,-0.0184,0.0021,90831
"135",6877.384,7040,-0.0245,0.0022,86003
"omnidir",212.63,320,0.455,1e-04,8207
"omnidir",497.308,640,0.1744,2e-04,24202
"omnidir",809.392,960,0.0955,3e-04,38086
"omnidir",1125.862,1280,0.0616,4e-04,51536
"omnidir",1444.349,1600,0.0453,5e-04,63449
"omnidir",1763.194,1920,0.0441,6e-04,73462
"omnidir",2081.035,2240,0.0468,7e-04,81710
"omnidir",2402.22,2560,0.0407,8e-04,89268
"omnidir",2720.212,2880,0.028,9e-04,94291
"omnidir",3039.715,3200,0.0252,0.001,100190
"omnidir",3361.01,3520,0.0248,0.0011,103539
"omnidir",3679.806,3840,0.0114,0.003,105813
"omnidir",3999.505,4160,0.0068,0.0061,108484
"omnidir",4319.873,4480,-2e-04,0.45745,108760
"omnidir",4638.929,4800,-0.0055,0.0836,107036
"omnidir",4959.061,5120,-0.0135,0.0016,107453
"omnidir",5280.001,5440,-0.0105,0.0065,105456
"omnidir",5598.982,5760,-0.0147,0.0018,102261
"omnidir",5917.968,6080,-0.0141,0.0019,99591
"omnidir",6238.874,6400,-0.024,0.002,95805
"omnidir",6557.954,6720,-0.018,0.0021,90831
"omnidir",6877.384,7040,-0.0375,0.0022,86003
