"direction","bin.center","v","n","sd","bin.limit"
"0",160.000000000001,0.00708791508104374,2055,0.0173781252952723,320
"0",480,0.0100949888343043,5899,0.0232987532412753,640
"0",800,0.0108804046287669,9522,0.0248775333193085,960
"0",1120,0.0108484957710602,12915,0.0241466153311092,1280
"0",1440,0.0102684551348722,15846,0.0219274409514343,1600
"0",1760,0.00934884256720655,18577,0.0193715999380273,1920
"0",2080,0.00954694372690421,20555,0.0192398893164581,2240
"0",2400,0.0100968353370111,22619,0.0199936692409717,2560
"0",2720,0.0106767589797986,23792,0.0210451278479442,2880
"0",3040,0.0108160024929333,25965,0.0212199150583219,3200
"0",3360,0.0109756912288836,26944,0.0215763048562235,3520
"0",3680,0.0114758410797137,26771,0.0224372320260301,3840
"0",4000,0.011576086500777,28074,0.0219593562577803,4160
"0",4320,0.0126017777678672,28189,0.0229165395531531,4480
"0",4640,0.0129868921729783,27593,0.0234981997497951,4800
"0",4960,0.0135914863713764,27603,0.0246894691649782,5120
"0",5280,0.0143608471172587,26411,0.0256715934618176,5440
"0",5600,0.0152189877538439,25445,0.0265849612611349,5760
"0",5920,0.0160566481200779,24479,0.0268512706265658,6080
"0",6240,0.0171891675758215,23451,0.0273604285800291,6400
"0",6560,0.0181330704902667,21958,0.0278753403553829,6720
"0",6880,0.0193501851408477,20444,0.0283761139935926,7040
"45",160.000000000001,0.00776226978618308,2192,0.0195885258541723,320
"45",480,0.0104906791338267,5874,0.0244211955529227,640
"45",800,0.0113449207319561,9382,0.02657392887348,960
"45",1120,0.0106256636023658,12570,0.0244054656357361,1280
"45",1440,0.0109164730892954,15550,0.0245587842252914,1600
"45",1760,0.0112842189938747,17732,0.0248895930897948,1920
"45",2080,0.0102256699560504,19494,0.0217667356839504,2240
"45",2400,0.00993238578287072,20732,0.0211679778328175,2560
"45",2720,0.0102508081858027,22096,0.0217193751109008,2880
"45",3040,0.0103730967608313,22893,0.0213059812031592,3200
"45",3360,0.010556389576501,23456,0.021137541590874,3520
"45",3680,0.0112885246473816,23982,0.0225472163587487,3840
"45",4000,0.0120260702148283,23917,0.0238032364794283,4160
"45",4320,0.0132823453522492,23314,0.0254850325227232,4480
"45",4640,0.013014033227924,22433,0.0256775455584682,4800
"45",4960,0.0132315373208227,21858,0.0251780831076642,5120
"45",5280,0.0138149407268329,21333,0.025465274127135,5440
"45",5600,0.0151805461220359,19938,0.0268388234436179,5760
"45",5920,0.0157328763529243,18721,0.0268149810474529,6080
"45",6240,0.0172784791050093,17443,0.0285127652205704,6400
"45",6560,0.0181071991540215,16153,0.0291091981281449,6720
"45",6880,0.0199735550228265,14870,0.0308427670018235,7040
"90",160.000000000001,0.00649010437039501,1951,0.0165801861108261,320
"90",480,0.00943068700207846,6254,0.0224775296060265,640
"90",800,0.00917324480261447,9537,0.0210172293570776,960
"90",1120,0.0101651408986975,12995,0.0225974452797486,1280
"90",1440,0.00952392244915871,15943,0.0215604001461704,1600
"90",1760,0.00949505404863324,18377,0.0208098383255,1920
"90",2080,0.0097112802876967,20522,0.0218551559561372,2240
"90",2400,0.0101849758367801,22894,0.0237269181320105,2560
"90",2720,0.00973804423798066,23843,0.0224385362227104,2880
"90",3040,0.00956025727783306,25291,0.0209546327509771,3200
"90",3360,0.00982975261053587,25954,0.0208574492513781,3520
"90",3680,0.00991620352192175,26662,0.0210270787286734,3840
