"direction","d.mean","breaks","obs","p.val","size"
"0",207.053,310,0.9806,0.09359,15320
"0",483.556,620,0.9917,0.20268,43315
"0",783.615,930,0.9731,0.0033,68001
"0",1090.584,1240,0.9629,4e-04,93412
"0",1400.668,1550,0.96,5e-04,113508
"0",1708.602,1860,0.954,6e-04,130191
"0",2016.912,2170,0.9481,7e-04,148663
"0",2326.794,2480,0.9518,8e-04,162103
"0",2635.4,2790,0.9615,0.0027,173556
"0",2946.312,3100,0.9653,0.0045,184826
"0",3256.006,3410,0.9723,0.0165,191831
"0",3565.733,3720,0.9799,0.0897,197943
"0",3875.715,4030,0.9758,0.0515,203488
"0",4185.33,4340,0.9824,0.1975,205651
"0",4494.753,4650,0.9764,0.0539,205579
"0",4804.067,4960,0.9897,0.4485,205696
"0",5114.496,5270,0.9873,0.412,202515
"0",5423.734,5580,0.9934,0.9875,196082
"0",5733.35,5890,0.9963,1,191597
"0",6044.788,6200,0.9984,1,181978
"0",6353.082,6510,0.9884,1,171336
"0",6663.171,6820,1.0093,1,163953
"0",6973.413,7130,1.0107,1,152974
"45",207.053,310,0.9861,0.17728,15320
"45",483.556,620,1.0089,0.35276,43315
"45",783.615,930,0.9688,0.0012,68001
"45",1090.584,1240,0.9663,8e-04,93412
"45",1400.668,1550,0.9606,5e-04,113508
"45",1708.602,1860,0.9639,6e-04,130191
"45",2016.912,2170,0.9545,7e-04,148663
"45",2326.794,2480,0.9554,8e-04,162103
"45",2635.4,2790,0.9569,0.0018,173556
"45",2946.312,3100,0.9644,0.002,184826
"45",3256.006,3410,0.9692,0.0066,191831
"45",3565.733,3720,0.9748,0.0264,197943
"45",3875.715,4030,0.9705,0.0126,203488
"45",4185.33,4340,0.9791,0.0736,205651
"45",4494.753,4650,0.9684,0.011,205579
"45",4804.067,4960,0.9774,0.0742,205696
"45",5114.496,5270,0.9735,0.0576,202515
"45",5423.734,5580,0.9785,0.1757,196082
"45",5733.35,5890,0.977,0.2758,191597
"45",6044.788,6200,0.972,0.2376,181978
"45",6353.082,6510,0.9734,0.45891,171336
"45",6663.171,6820,0.9887,1,163953
"45",6973.413,7130,0.9841,1,152974
"90",207.053,310,0.9832,0.12669,15320
"90",483.556,620,1.0106,0.25338,43315
"90",783.615,930,0.9649,3e-04,68001
"90",1090.584,1240,0.968,8e-04,93412
"90",1400.668,1550,0.9646,5e-04,113508
"90",1708.602,1860,0.9663,0.002,130191
"90",2016.912,2170,0.9595,7e-04,148663
"90",2326.794,2480,0.9592,0.0016,162103
"90",2635.4,2790,0.958,9e-04,173556
"90",2946.312,3100,0.9691,0.006,184826
"90",3256.006,3410,0.9654,0.0011,191831
"90",3565.733,3720,0.9653,0.0024,197943
"90",3875.715,4030,0.9705,0.0066,203488
"90",4185.33,4340,0.9734,0.0104,205651
"90",4494.753,4650,0.9695,0.0015,205579
"90",4804.067,4960,0.973,0.006,205696
"90",5114.496,5270,0.9675,0.0017,202515
"90",5423.734,5580,0.9738,0.0168,196082
"90",5733.35,5890,0.9713,0.0195,191597
"90",6044.788,6200,0.9722,0.054,181978
"90",6353.082,6510,0.9673,0.054,171336
"90",6663.171,6820,0.988,0.42236,163953
"90",6973.413,7130,0.9799,0.45716,152974
"135",207.053,310,0.9777,0.06599,15320
"135",483.556,620,0.9935,0.24518,43315
"135",783.615,930,0.9691,3e-04,68001
"135",1090.584,1240,0.9646,4e-04,93412
"135",1400.668,1550,0.964,5e-04,113508
"135",1708.602,1860,0.9566,6e-04,130191
"135",2016.912,2170,0.9533,7e-04,148663
"135",2326.794,2480,0.9557,8e-04,162103
"135",2635.4,2790,0.9624,9e-04,173556
"135",2946.312,3100,0.9699,0.0042,184826
"135",3256.006,3410,0.9685,0.0049,191831
"135",3565.733,3720,0.9707,0.013,197943
"135",3875.715,4030,0.9756,0.032,203488
"135",4185.33,4340,0.9769,0.046,205651
"135",4494.753,4650,0.9771,0.0384,205579
"135",4804.067,4960,0.9849,0.192,205696
"135",5114.496,5270,0.9811,0.0488,202515
"135",5423.734,5580,0.9883,0.276,196082
"135",5733.35,5890,0.9898,0.32945,191597
"135",6044.788,6200,0.9965,0.98072,181978
"135",6353.082,6510,0.9817,0.2013,171336
"135",6663.171,6820,1.0067,1,163953
"135",6973.413,7130,1.0045,1,152974
"omnidir",207.053,310,0.9819,0.06229,15320
"omnidir",483.556,620,1.0011,0.44046,43315
"omnidir",783.615,930,0.969,3e-04,68001
"omnidir",1090.584,1240,0.9654,4e-04,93412
"omnidir",1400.668,1550,0.9623,5e-04,113508
"omnidir",1708.602,1860,0.9602,6e-04,130191
"omnidir",2016.912,2170,0.9538,7e-04,148663
"omnidir",2326.794,2480,0.9555,8e-04,162103
"omnidir",2635.4,2790,0.9598,9e-04,173556
"omnidir",2946.312,3100,0.9672,0.003,184826
"omnidir",3256.006,3410,0.9688,0.0045,191831
"omnidir",3565.733,3720,0.9727,0.009,197943
"omnidir",3875.715,4030,0.9732,0.0138,203488
"omnidir",4185.33,4340,0.9779,0.0285,205651
"omnidir",4494.753,4650,0.973,0.008,205579
"omnidir",4804.067,4960,0.9814,0.0462,205696
"omnidir",5114.496,5270,0.9775,0.0075,202515
"omnidir",5423.734,5580,0.9838,0.0154,196082
"omnidir",5733.35,5890,0.984,0.0216,191597
"omnidir",6044.788,6200,0.9856,0.0825,181978
"omnidir",6353.082,6510,0.9781,0.0168,171336
"omnidir",6663.171,6820,0.999,0.88092,163953
"omnidir",6973.413,7130,0.9958,1,152974
