"direction","d.mean","breaks","obs","p.val","size"
"0",207.053,310,0.0094,0.16638,15320
"0",483.556,620,-0.0117,0.0478,43315
"0",783.615,930,-0.0029,0.33276,68001
"0",1090.584,1240,-0.0014,0.66552,93412
"0",1400.668,1550,-0.0016,0.99828,113508
"0",1708.602,1860,0,1,130191
"0",2016.912,2170,0.0027,0.97788,148663
"0",2326.794,2480,-0.0019,1,162103
"0",2635.4,2790,0.0024,1,173556
"0",2946.312,3100,-0.0014,1,184826
"0",3256.006,3410,6e-04,1,191831
"0",3565.733,3720,-0.0029,1,197943
"0",3875.715,4030,1e-04,1,203488
"0",4185.33,4340,-3e-04,1,205651
"0",4494.753,4650,4e-04,1,205579
"0",4804.067,4960,-0.0027,1,205696
"0",5114.496,5270,0.0016,1,202515
"0",5423.734,5580,-2e-04,1,196082
"0",5733.35,5890,0.0021,1,191597
"0",6044.788,6200,-0.0024,1,181978
"0",6353.082,6510,0.0069,0.1008,171336
"0",6663.171,6820,-0.0047,1,163953
"0",6973.413,7130,0.0046,1,152974
"45",207.053,310,-0.0085,0.20908,15320
"45",483.556,620,-0.0153,0.0118,43315
"45",783.615,930,-3e-04,0.49905,68001
"45",1090.584,1240,-4e-04,0.9873,93412
"45",1400.668,1550,0.0011,1,113508
"45",1708.602,1860,-0.0019,1,130191
"45",2016.912,2170,0.0038,0.53454,148663
"45",2326.794,2480,-0.0033,1,162103
"45",2635.4,2790,6e-04,1,173556
"45",2946.312,3100,-7e-04,1,184826
"45",3256.006,3410,0.0036,0.8149,191831
"45",3565.733,3720,-0.0037,1,197943
"45",3875.715,4030,-5e-04,1,203488
"45",4185.33,4340,-0.0029,1,205651
"45",4494.753,4650,0.0021,1,205579
"45",4804.067,4960,-0.0019,1,205696
"45",5114.496,5270,0.0017,1,202515
"45",5423.734,5580,4e-04,1,196082
"45",5733.35,5890,3e-04,1,191597
"45",6044.788,6200,1e-04,1,181978
"45",6353.082,6510,5e-04,1,171336
"45",6663.171,6820,1e-04,1,163953
"45",6973.413,7130,0.0024,1,152974
"90",207.053,310,-6e-04,0.48385,15320
"90",483.556,620,-0.0153,0.012,43315
"90",783.615,930,0.0013,0.73612,68001
"90",1090.584,1240,-0.0022,0.94131,93412
"90",1400.668,1550,-3e-04,1,113508
"90",1708.602,1860,-0.001,1,130191
"90",2016.912,2170,0.003,0.89454,148663
"90",2326.794,2480,-0.0043,0.68383,162103
"90",2635.4,2790,0.001,1,173556
"90",2946.312,3100,-0.0013,1,184826
"90",3256.006,3410,0.0033,0.9139,191831
"90",3565.733,3720,0.0012,1,197943
"90",3875.715,4030,-7e-04,1,203488
"90",4185.33,4340,-0.0049,0.611,205651
"90",4494.753,4650,-0.0033,1,205579
"90",4804.067,4960,-0.002,1,205696
"90",5114.496,5270,0.0011,1,202515
"90",5423.734,5580,-8e-04,1,196082
"90",5733.35,5890,2e-04,1,191597
"90",6044.788,6200,2e-04,1,181978
"90",6353.082,6510,0.0062,0.27,171336
"90",6663.171,6820,-0.0032,1,163953
"90",6973.413,7130,0.001,1,152974
"135",207.053,310,0.0171,0.0354,15320
"135",483.556,620,-0.0117,0.0476,43315
"135",783.615,930,-0.0013,0.41216,68001
"135",1090.584,1240,-0.0032,0.45896,93412
"135",1400.668,1550,-0.003,0.69594,113508
"135",1708.602,1860,9e-04,1,130191
"135",2016.912,2170,0.0019,1,148663
"135",2326.794,2480,-0.0029,1,162103
"135",2635.4,2790,0.0027,0.99743,173556
"135",2946.312,3100,-0.0019,1,184826
"135",3256.006,3410,4e-04,1,191831
"135",3565.733,3720,0.0018,1,197943
"135",3875.715,4030,-1e-04,1,203488
"135",4185.33,4340,-0.0022,1,205651
"135",4494.753,4650,-0.0046,0.6664,205579
"135",4804.067,4960,-0.0027,1,205696
"135",5114.496,5270,0.0011,1,202515
"135",5423.734,5580,-0.0013,1,196082
"135",5733.35,5890,0.0019,1,191597
"135",6044.788,6200,-0.0021,1,181978
"135",6353.082,6510,0.0113,0.0021,171336
"135",6663.171,6820,-0.0071,0.1827,163953
"135",6973.413,7130,0.0031,1,152974
"omnidir",207.053,310,0.0044,0.27477,15320
"omnidir",483.556,620,-0.0135,0.0058,43315
"omnidir",783.615,930,-8e-04,0.54954,68001
"omnidir",1090.584,1240,-0.0018,0.82431,93412
"omnidir",1400.668,1550,-0.001,1,113508
"omnidir",1708.602,1860,-5e-04,1,130191
"omnidir",2016.912,2170,0.0028,0.65214,148663
"omnidir",2326.794,2480,-0.0031,0.93513,162103
"omnidir",2635.4,2790,0.0017,1,173556
"omnidir",2946.312,3100,-0.0013,1,184826
"omnidir",3256.006,3410,0.0019,1,191831
"omnidir",3565.733,3720,-9e-04,1,197943
"omnidir",3875.715,4030,-3e-04,1,203488
"omnidir",4185.33,4340,-0.0026,1,205651
"omnidir",4494.753,4650,-0.0014,1,205579
"omnidir",4804.067,4960,-0.0023,1,205696
"omnidir",5114.496,5270,0.0014,1,202515
"omnidir",5423.734,5580,-5e-04,1,196082
"omnidir",5733.35,5890,0.0012,1,191597
"omnidir",6044.788,6200,-0.0011,1,181978
"omnidir",6353.082,6510,0.0065,0.0294,171336
"omnidir",6663.171,6820,-0.004,1,163953
"omnidir",6973.413,7130,0.0028,1,152974
