"direction","d.mean","breaks","obs","p.val","size"
"0",248.094,370,0.0639,1e-04,1536
"0",572.674,740,0.181,2e-04,4355
"0",935.895,1110,0.282,3e-04,7020
"0",1301.168,1480,0.3476,4e-04,9283
"0",1670.564,1850,0.4445,5e-04,11262
"0",2037.857,2220,0.5338,6e-04,13194
"0",2408.327,2590,0.6431,7e-04,14701
"0",2778.299,2960,0.6876,8e-04,15761
"0",3144.719,3330,0.7517,9e-04,16855
"0",3515.427,3700,0.8692,0.001,17706
"0",3886.196,4070,0.964,0.0282,17909
"0",4254.821,4440,1.0454,0.014,17996
"0",4623.529,4810,1.1325,0.0013,17943
"0",4994.712,5180,1.2027,0.0014,17608
"0",5363.868,5550,1.2283,0.0015,17030
"0",5733.727,5920,1.2589,0.0016,16465
"0",6103.502,6290,1.3052,0.0017,15747
"0",6472.063,6660,1.3633,0.0018,14958
"0",6843.65,7030,1.4196,0.0019,13592
"45",248.094,370,0.068,1e-04,1536
"45",572.674,740,0.1998,2e-04,4355
"45",935.895,1110,0.3041,3e-04,7020
"45",1301.168,1480,0.3818,4e-04,9283
"45",1670.564,1850,0.4695,5e-04,11262
"45",2037.857,2220,0.5646,6e-04,13194
"45",2408.327,2590,0.6631,7e-04,14701
"45",2778.299,2960,0.722,8e-04,15761
"45",3144.719,3330,0.8093,9e-04,16855
"45",3515.427,3700,0.9438,0.0031,17706
"45",3886.196,4070,1.0066,0.36966,17909
"45",4254.821,4440,1.1199,0.0012,17996
"45",4623.529,4810,1.1532,0.0013,17943
"45",4994.712,5180,1.1518,0.0014,17608
"45",5363.868,5550,1.1152,0.0015,17030
"45",5733.727,5920,1.0865,0.0016,16465
"45",6103.502,6290,1.0649,0.0126,15747
"45",6472.063,6660,1.0766,0.0141,14958
"45",6843.65,7030,1.0547,0.0952,13592
"90",248.094,370,0.0667,1e-04,1536
"90",572.674,740,0.1754,2e-04,4355
"90",935.895,1110,0.2974,3e-04,7020
"90",1301.168,1480,0.3808,4e-04,9283
"90",1670.564,1850,0.474,5e-04,11262
"90",2037.857,2220,0.586,6e-04,13194
"90",2408.327,2590,0.6843,7e-04,14701
"90",2778.299,2960,0.7967,8e-04,15761
"90",3144.719,3330,0.887,9e-04,16855
"90",3515.427,3700,1.0051,0.39016,17706
"90",3886.196,4070,1.0927,0.0011,17909
"90",4254.821,4440,1.2049,0.0012,17996
"90",4623.529,4810,1.2801,0.0013,17943
"90",4994.712,5180,1.2862,0.0014,17608
"90",5363.868,5550,1.2551,0.0015,17030
"90",5733.727,5920,1.2221,0.0016,16465
"90",6103.502,6290,1.1645,0.0017,15747
"90",6472.063,6660,1.1387,0.0018,14958
"90",6843.65,7030,1.0821,0.011,13592
"135",248.094,370,0.0626,1e-04,1536
"135",572.674,740,0.1571,2e-04,4355
"135",935.895,1110,0.2751,3e-04,7020
"135",1301.168,1480,0.3469,4e-04,9283
"135",1670.564,1850,0.4487,5e-04,11262
"135",2037.857,2220,0.5556,6e-04,13194
"135",2408.327,2590,0.6639,7e-04,14701
"135",2778.299,2960,0.7605,8e-04,15761
"135",3144.719,3330,0.83,9e-04,16855
"135",3515.427,3700,0.9316,0.001,17706
"135",3886.196,4070,1.0486,0.0036,17909
"135",4254.821,4440,1.1319,0.0012,17996
"135",4623.529,4810,1.2565,0.0013,17943
"135",4994.712,5180,1.3271,0.0014,17608
"135",5363.868,5550,1.3546,0.0015,17030
"135",5733.727,5920,1.3763,0.0016,16465
"135",6103.502,6290,1.3784,0.0017,15747
"135",6472.063,6660,1.3972,0.0018,14958
"135",6843.65,7030,1.4086,0.0019,13592
"omnidir",248.094,370,0.0653,1e-04,1536
"omnidir",572.674,740,0.1782,2e-04,4355
"omnidir",935.895,1110,0.2897,3e-04,7020
"omnidir",1301.168,1480,0.3641,4e-04,9283
"omnidir",1670.564,1850,0.4591,5e-04,11262
"omnidir",2037.857,2220,0.56,6e-04,13194
"omnidir",2408.327,2590,0.6635,7e-04,14701
"omnidir",2778.299,2960,0.7419,8e-04,15761
"omnidir",3144.719,3330,0.82,9e-04,16855
"omnidir",3515.427,3700,0.9374,0.001,17706
"omnidir",3886.196,4070,1.0284,0.05009,17909
"omnidir",4254.821,4440,1.1262,0.0012,17996
"omnidir",4623.529,4810,1.2071,0.0013,17943
"omnidir",4994.712,5180,1.245,0.0014,17608
"omnidir",5363.868,5550,1.2416,0.0015,17030
"omnidir",5733.727,5920,1.2405,0.0016,16465
"omnidir",6103.502,6290,1.2345,0.0017,15747
"omnidir",6472.063,6660,1.251,0.0018,14958
"omnidir",6843.65,7030,1.2504,0.0019,13592
