"direction","d.mean","breaks","obs","p.val","size"
"0",248.094,370,0.913,1e-04,1536
"0",572.674,740,0.703,2e-04,4355
"0",935.895,1110,0.6063,3e-04,7020
"0",1301.168,1480,0.5263,4e-04,9283
"0",1670.564,1850,0.433,5e-04,11262
"0",2037.857,2220,0.3998,6e-04,13194
"0",2408.327,2590,0.3132,7e-04,14701
"0",2778.299,2960,0.2574,8e-04,15761
"0",3144.719,3330,0.1877,9e-04,16855
"0",3515.427,3700,0.105,0.001,17706
"0",3886.196,4070,0.0157,0.0307,17909
"0",4254.821,4440,-0.0586,0.0012,17996
"0",4623.529,4810,-0.1361,0.0013,17943
"0",4994.712,5180,-0.2125,0.0014,17608
"0",5363.868,5550,-0.2422,0.0015,17030
"0",5733.727,5920,-0.2769,0.0016,16465
"0",6103.502,6290,-0.3159,0.0017,15747
"0",6472.063,6660,-0.3619,0.0018,14958
"0",6843.65,7030,-0.3897,0.0019,13592
"45",248.094,370,0.8887,1e-04,1536
"45",572.674,740,0.6484,2e-04,4355
"45",935.895,1110,0.5674,3e-04,7020
"45",1301.168,1480,0.4741,4e-04,9283
"45",1670.564,1850,0.3998,5e-04,11262
"45",2037.857,2220,0.3525,6e-04,13194
"45",2408.327,2590,0.2729,7e-04,14701
"45",2778.299,2960,0.2222,8e-04,15761
"45",3144.719,3330,0.1405,9e-04,16855
"45",3515.427,3700,0.0263,0.003,17706
"45",3886.196,4070,-0.0388,0.002,17909
"45",4254.821,4440,-0.1519,0.0012,17996
"45",4623.529,4810,-0.2001,0.0013,17943
"45",4994.712,5180,-0.2356,0.0014,17608
"45",5363.868,5550,-0.2514,0.0015,17030
"45",5733.727,5920,-0.2517,0.0016,16465
"45",6103.502,6290,-0.2562,0.0017,15747
"45",6472.063,6660,-0.2731,0.0018,14958
"45",6843.65,7030,-0.2514,0.0019,13592
"90",248.094,370,0.9002,1e-04,1536
"90",572.674,740,0.6813,2e-04,4355
"90",935.895,1110,0.5789,3e-04,7020
"90",1301.168,1480,0.4845,4e-04,9283
"90",1670.564,1850,0.414,5e-04,11262
"90",2037.857,2220,0.3241,6e-04,13194
"90",2408.327,2590,0.2437,7e-04,14701
"90",2778.299,2960,0.172,8e-04,15761
"90",3144.719,3330,0.1059,9e-04,16855
"90",3515.427,3700,-0.006,0.30257,17706
"90",3886.196,4070,-0.0891,0.0011,17909
"90",4254.821,4440,-0.1972,0.0012,17996
"90",4623.529,4810,-0.2783,0.0013,17943
"90",4994.712,5180,-0.3189,0.0014,17608
"90",5363.868,5550,-0.3364,0.0015,17030
"90",5733.727,5920,-0.3419,0.0016,16465
"90",6103.502,6290,-0.3133,0.0017,15747
"90",6472.063,6660,-0.2937,0.0018,14958
"90",6843.65,7030,-0.2449,0.0019,13592
"135",248.094,370,0.9243,1e-04,1536
"135",572.674,740,0.7351,2e-04,4355
"135",935.895,1110,0.6179,3e-04,7020
"135",1301.168,1480,0.5362,4e-04,9283
"135",1670.564,1850,0.447,5e-04,11262
"135",2037.857,2220,0.3707,6e-04,13194
"135",2408.327,2590,0.2843,7e-04,14701
"135",2778.299,2960,0.208,8e-04,15761
"135",3144.719,3330,0.1519,9e-04,16855
"135",3515.427,3700,0.0704,0.001,17706
"135",3886.196,4070,-0.0347,0.0011,17909
"135",4254.821,4440,-0.1077,0.0012,17996
"135",4623.529,4810,-0.2153,0.0013,17943
"135",4994.712,5180,-0.2936,0.0014,17608
"135",5363.868,5550,-0.3226,0.0015,17030
"135",5733.727,5920,-0.3605,0.0016,16465
"135",6103.502,6290,-0.3642,0.0017,15747
"135",6472.063,6660,-0.3737,0.0018,14958
"135",6843.65,7030,-0.3703,0.0019,13592
"omnidir",248.094,370,0.9066,1e-04,1536
"omnidir",572.674,740,0.6922,2e-04,4355
"omnidir",935.895,1110,0.5925,3e-04,7020
"omnidir",1301.168,1480,0.5054,4e-04,9283
"omnidir",1670.564,1850,0.4236,5e-04,11262
"omnidir",2037.857,2220,0.3617,6e-04,13194
"omnidir",2408.327,2590,0.2787,7e-04,14701
"omnidir",2778.299,2960,0.2149,8e-04,15761
"omnidir",3144.719,3330,0.1464,9e-04,16855
"omnidir",3515.427,3700,0.0493,0.001,17706
"omnidir",3886.196,4070,-0.0367,0.0011,17909
"omnidir",4254.821,4440,-0.1288,0.0012,17996
"omnidir",4623.529,4810,-0.208,0.0013,17943
"omnidir",4994.712,5180,-0.2664,0.0014,17608
"omnidir",5363.868,5550,-0.289,0.0015,17030
"omnidir",5733.727,5920,-0.3095,0.0016,16465
"omnidir",6103.502,6290,-0.3146,0.0017,15747
"omnidir",6472.063,6660,-0.3278,0.0018,14958
"omnidir",6843.65,7030,-0.3171,0.0019,13592
