"direction","bin.center","v","n","sd","bin.limit"
"0",155.000000000001,101.730356859826,6586,200.371328811774,310
"0",465,270.785347778378,19182,454.901589313483,620
"0",775,419.435499349835,30062,661.398695077333,930
"0",1085,559.624394017335,42248,792.784616428509,1240
"0",1395,719.43676823524,50494,972.256652645176,1550
"0",1705,882.737084828515,57514,1152.27335562834,1860
"0",2015,1037.27053226323,66639,1347.75949663521,2170
"0",2325,1217.89334414918,72200,1514.21204695532,2480
"0",2635,1393.8275006303,77366,1682.21266563999,2790
"0",2945,1549.44644088295,82313,1822.15530905152,3100
"0",3255,1715.81584990018,84952,1942.92121304238,3410
"0",3565,1907.7886447054,86824,2132.37616934484,3720
"0",3875,2053.93465482768,89441,2326.79343567741,4030
"0",4185,2164.98744590348,89747,2505.87463604583,4340
"0",4495,2278.33607187738,88816,2646.05543244402,4650
"0",4805,2301.24844135193,88594,2688.26461845982,4960
"0",5115,2217.33725188008,86441,2566.6398458868,5270
"0",5425,2139.35288529841,83523,2484.23829030064,5580
"0",5735,2035.76747287242,80309,2405.00177993347,5890
"0",6045,1911.00911897874,75209,2288.43687457481,6200
"0",6355,1769.91444035354,71189,2206.68964616925,6510
"0",6665,1640.16340505197,67457,2101.41460520546,6820
"0",6975,1470.24525839482,60591,1960.99330528336,7130
"45",155.000000000001,118.163218924812,6671,224.668357802586,310
"45",465,301.299285858045,19105,520.875666005756,620
"45",775,443.60169008106,29036,676.486103080904,930
"45",1085,587.696888856778,39605,837.196431410495,1240
"45",1395,726.0077789338,48312,984.499999280261,1550
"45",1705,853.394438114607,54984,1138.02771339163,1860
"45",2015,988.351457915832,61559,1318.51860380347,2170
"45",2325,1115.40770279527,66575,1453.50984211382,2480
"45",2635,1234.12297744497,71667,1535.95607960778,2790
"45",2945,1373.14011851539,75193,1629.64118769909,3100
"45",3255,1561.81379083862,76921,1763.90903435801,3410
"45",3565,1775.86169973623,79434,2011.39131355015,3720
"45",3875,1929.02667022398,78855,2244.93130879926,4030
"45",4185,2022.10278611566,78845,2438.96509067156,4340
