"direction","d.mean","breaks","obs","p.val","size"
"0",228.315,340,0.5254,1e-04,6887
"0",525.803,680,0.7071,2e-04,19600
"0",858.169,1020,0.817,3e-04,30988
"0",1197.132,1360,0.8678,4e-04,42134
"0",1536.627,1700,0.895,5e-04,50882
"0",1873.357,2040,0.9228,6e-04,58351
"0",2213.25,2380,0.9454,7e-04,66869
"0",2552.953,2720,0.9646,0.0032,71505
"0",2891.514,3060,0.9674,0.0064,76574
"0",3231.176,3400,0.9922,0.28387,80727
"0",3572.584,3740,1.041,0.008,83197
"0",3910.834,4080,1.0467,0.0042,85192
"0",4249.813,4420,1.0379,0.0138,86502
"0",4590.189,4760,1.0214,0.0834,85008
"0",4930.064,5100,1.0447,0.0028,85246
"0",5268.969,5440,1.0408,0.0042,83974
"0",5609.561,5780,1.024,0.0588,81894
"0",5948.839,6120,1.0249,0.13,78165
"0",6287.966,6460,1.0026,0.56774,73655
"0",6628.485,6800,1.0172,0.53514,69637
"0",6967.685,7140,0.9911,1,64685
"45",228.315,340,0.5505,1e-04,6887
"45",525.803,680,0.7324,2e-04,19600
"45",858.169,1020,0.8044,3e-04,30988
"45",1197.132,1360,0.8802,4e-04,42134
"45",1536.627,1700,0.9061,5e-04,50882
"45",1873.357,2040,0.9428,6e-04,58351
"45",2213.25,2380,0.9744,0.0243,66869
"45",2552.953,2720,0.9812,0.07599,71505
"45",2891.514,3060,0.9783,0.097,76574
"45",3231.176,3400,0.9969,0.40876,80727
"45",3572.584,3740,1.0343,0.028,83197
"45",3910.834,4080,1.0319,0.0498,85192
"45",4249.813,4420,1.0096,0.46736,86502
"45",4590.189,4760,0.9921,0.80331,85008
"45",4930.064,5100,0.9947,1,85246
"45",5268.969,5440,0.9824,0.582,83974
"45",5609.561,5780,0.9993,1,81894
"45",5948.839,6120,1.0026,1,78165
"45",6287.966,6460,1.0205,1,73655
"45",6628.485,6800,1.0681,0.0378,69637
"45",6967.685,7140,1.0828,0.021,64685
"90",228.315,340,0.5232,1e-04,6887
"90",525.803,680,0.7209,2e-04,19600
"90",858.169,1020,0.7712,3e-04,30988
"90",1197.132,1360,0.8519,4e-04,42134
"90",1536.627,1700,0.8793,5e-04,50882
"90",1873.357,2040,0.9239,6e-04,58351
"90",2213.25,2380,0.9458,0.0012,66869
"90",2552.953,2720,0.9466,8e-04,71505
"90",2891.514,3060,0.9297,9e-04,76574
"90",3231.176,3400,0.9399,0.001,80727
"90",3572.584,3740,0.9614,0.004,83197
"90",3910.834,4080,0.9559,0.0012,85192
"90",4249.813,4420,0.947,0.0013,86502
"90",4590.189,4760,0.963,0.0056,85008
"90",4930.064,5100,0.9675,0.0072,85246
"90",5268.969,5440,0.9694,0.0096,83974
"90",5609.561,5780,0.9885,0.15598,81894
"90",5948.839,6120,0.993,0.31196,78165
"90",6287.966,6460,1.0219,0.20817,73655
"90",6628.485,6800,1.0755,0.002,69637
"90",6967.685,7140,1.0748,0.0072,64685
"135",228.315,340,0.4978,1e-04,6887
"135",525.803,680,0.6956,2e-04,19600
"135",858.169,1020,0.7842,3e-04,30988
"135",1197.132,1360,0.8401,4e-04,42134
"135",1536.627,1700,0.8685,5e-04,50882
"135",1873.357,2040,0.9045,6e-04,58351
"135",2213.25,2380,0.918,7e-04,66869
"135",2552.953,2720,0.9312,8e-04,71505
"135",2891.514,3060,0.9206,9e-04,76574
"135",3231.176,3400,0.9372,0.001,80727
"135",3572.584,3740,0.9704,0.0119,83197
"135",3910.834,4080,0.9729,0.0238,85192
"135",4249.813,4420,0.9767,0.0476,86502
"135",4590.189,4760,0.9923,0.27567,85008
"135",4930.064,5100,1.0157,0.16598,85246
"135",5268.969,5440,1.0234,0.066,83974
"135",5609.561,5780,1.0116,0.32847,81894
"135",5948.839,6120,1.0137,0.33,78165
"135",6287.966,6460,1.0058,1,73655
"135",6628.485,6800,1.0301,0.117,69637
"135",6967.685,7140,0.9963,1,64685
"omnidir",228.315,340,0.5243,1e-04,6887
"omnidir",525.803,680,0.7139,2e-04,19600
"omnidir",858.169,1020,0.7943,3e-04,30988
"omnidir",1197.132,1360,0.8599,4e-04,42134
"omnidir",1536.627,1700,0.8871,5e-04,50882
"omnidir",1873.357,2040,0.9234,6e-04,58351
"omnidir",2213.25,2380,0.9456,7e-04,66869
"omnidir",2552.953,2720,0.9556,0.0014,71505
"omnidir",2891.514,3060,0.9487,9e-04,76574
"omnidir",3231.176,3400,0.966,0.0031,80727
"omnidir",3572.584,3740,1.001,0.46255,83197
"omnidir",3910.834,4080,1.001,0.9123,85192
"omnidir",4249.813,4420,0.9922,0.76491,86502
"omnidir",4590.189,4760,0.9922,0.90552,85008
"omnidir",4930.064,5100,1.006,1,85246
"omnidir",5268.969,5440,1.0046,1,83974
"omnidir",5609.561,5780,1.006,1,81894
"omnidir",5948.839,6120,1.0087,1,78165
"omnidir",6287.966,6460,1.0123,0.77301,73655
"omnidir",6628.485,6800,1.0465,0.0038,69637
"omnidir",6967.685,7140,1.033,0.051,64685
