"direction","d.mean","breaks","obs","p.val","size"
"0",228.315,340,0.4551,1e-04,6887
"0",525.803,680,0.2456,2e-04,19600
"0",858.169,1020,0.1591,3e-04,30988
"0",1197.132,1360,0.0922,4e-04,42134
"0",1536.627,1700,0.0539,5e-04,50882
"0",1873.357,2040,0.038,6e-04,58351
"0",2213.25,2380,0.011,0.0078,66869
"0",2552.953,2720,0.007,0.0444,71505
"0",2891.514,3060,0.0114,0.0093,76574
"0",3231.176,3400,0.001,0.36146,80727
"0",3572.584,3740,-0.0333,0.0011,83197
"0",3910.834,4080,-0.0383,0.0012,85192
"0",4249.813,4420,-0.0369,0.0013,86502
"0",4590.189,4760,-0.0333,0.0014,85008
"0",4930.064,5100,-0.0443,0.0015,85246
"0",5268.969,5440,-0.0217,0.0016,83974
"0",5609.561,5780,-0.0193,0.0017,81894
"0",5948.839,6120,-0.0161,0.006,78165
"0",6287.966,6460,-0.002,0.72292,73655
"0",6628.485,6800,-0.0229,0.002,69637
"0",6967.685,7140,-0.0075,0.21567,64685
"45",228.315,340,0.413,1e-04,6887
"45",525.803,680,0.2233,2e-04,19600
"45",858.169,1020,0.1463,3e-04,30988
"45",1197.132,1360,0.0677,4e-04,42134
"45",1536.627,1700,0.0277,5e-04,50882
"45",1873.357,2040,0.0016,0.33717,58351
"45",2213.25,2380,-0.0245,7e-04,66869
"45",2552.953,2720,-0.0291,8e-04,71505
"45",2891.514,3060,-0.0229,9e-04,76574
"45",3231.176,3400,-0.0423,0.001,80727
"45",3572.584,3740,-0.0599,0.0011,83197
"45",3910.834,4080,-0.0497,0.0012,85192
"45",4249.813,4420,-0.0255,0.0013,86502
"45",4590.189,4760,-0.0051,0.26978,85008
"45",4930.064,5100,0.0084,0.048,85246
"45",5268.969,5440,0.0608,0.0016,83974
"45",5609.561,5780,0.0494,0.0017,81894
"45",5948.839,6120,0.0432,0.0018,78165
"45",6287.966,6460,0.0215,0.0019,73655
"45",6628.485,6800,-0.03,0.002,69637
"45",6967.685,7140,-0.0411,0.0021,64685
"90",228.315,340,0.4542,1e-04,6887
"90",525.803,680,0.2422,2e-04,19600
"90",858.169,1020,0.1732,3e-04,30988
"90",1197.132,1360,0.0973,4e-04,42134
"90",1536.627,1700,0.0581,5e-04,50882
"90",1873.357,2040,0.0172,0.0012,58351
"90",2213.25,2380,-0.0131,0.003,66869
"90",2552.953,2720,-0.0136,0.0058,71505
"90",2891.514,3060,-9e-04,0.46465,76574
"90",3231.176,3400,-0.0132,0.0068,80727
"90",3572.584,3740,-0.0262,0.0011,83197
"90",3910.834,4080,-0.014,0.0049,85192
"90",4249.813,4420,0.0011,0.69694,86502
"90",4590.189,4760,0.003,0.59334,85008
"90",4930.064,5100,0.0079,0.0832,85246
"90",5268.969,5440,0.0374,0.0016,83974
"90",5609.561,5780,0.0367,0.0017,81894
"90",5948.839,6120,0.0337,0.0018,78165
"90",6287.966,6460,0.0032,0.78632,73655
"90",6628.485,6800,-0.0423,0.002,69637
"90",6967.685,7140,-0.044,0.0021,64685
"135",228.315,340,0.4969,1e-04,6887
"135",525.803,680,0.2644,2e-04,19600
"135",858.169,1020,0.1857,3e-04,30988
"135",1197.132,1360,0.121,4e-04,42134
"135",1536.627,1700,0.0839,5e-04,50882
"135",1873.357,2040,0.0528,6e-04,58351
"135",2213.25,2380,0.0215,7e-04,66869
"135",2552.953,2720,0.0211,8e-04,71505
"135",2891.514,3060,0.0319,9e-04,76574
"135",3231.176,3400,0.0278,0.001,80727
"135",3572.584,3740,-0.002,0.36816,83197
"135",3910.834,4080,-0.0046,0.30396,85192
"135",4249.813,4420,-0.0109,0.0153,86502
"135",4590.189,4760,-0.0239,0.0014,85008
"135",4930.064,5100,-0.041,0.0015,85246
"135",5268.969,5440,-0.0363,0.0016,83974
"135",5609.561,5780,-0.0244,0.0017,81894
"135",5948.839,6120,-0.0186,0.0034,78165
"135",6287.966,6460,-0.016,0.0036,73655
"135",6628.485,6800,-0.0347,0.002,69637
"135",6967.685,7140,-0.0145,0.0154,64685
"omnidir",228.315,340,0.4547,1e-04,6887
"omnidir",525.803,680,0.2439,2e-04,19600
"omnidir",858.169,1020,0.1661,3e-04,30988
"omnidir",1197.132,1360,0.0947,4e-04,42134
"omnidir",1536.627,1700,0.056,5e-04,50882
"omnidir",1873.357,2040,0.0276,6e-04,58351
"omnidir",2213.25,2380,-0.0011,0.44186,66869
"omnidir",2552.953,2720,-0.0033,0.44816,71505
"omnidir",2891.514,3060,0.0053,0.15657,76574
"omnidir",3231.176,3400,-0.0061,0.21156,80727
"omnidir",3572.584,3740,-0.0297,0.0011,83197
"omnidir",3910.834,4080,-0.0261,0.0012,85192
"omnidir",4249.813,4420,-0.0178,0.0013,86502
"omnidir",4590.189,4760,-0.0151,0.0014,85008
"omnidir",4930.064,5100,-0.0181,0.0015,85246
"omnidir",5268.969,5440,0.0083,0.02,83974
"omnidir",5609.561,5780,0.009,0.0138,81894
"omnidir",5948.839,6120,0.0092,0.0154,78165
"omnidir",6287.966,6460,6e-04,1,73655
"omnidir",6628.485,6800,-0.0327,0.002,69637
"omnidir",6967.685,7140,-0.0258,0.0021,64685
